"sites" "long" "lat" "j.site" "a.exp" "b.exp" "r2.exp" "aic.exp" "a.pow" "b.pow" "r2.pow" "aic.pow" "mean.sing.value"
"1024" "Loc_33124" 46.8367347 60.75 49 0.12180825968237 4.53781409971574e-05 0.513279389452305 -18191.2482403989 -2.58529544504842 0.199692881578685 0.509391106683179 -18117.0969983403 0.383297604102165
"1025" "Loc_33125" 48.67346939 60.75 50 0.122382517294717 4.52046223183814e-05 0.510393150435165 -18136.1500467033 -2.61029191957592 0.200414929569668 0.509273810971949 -18114.8692603173 0.383297604102165
"1026" "Loc_33126" 50.51020408 60.75 51 0.122980256636286 4.50225517016261e-05 0.507304084816959 -18077.5385912056 -2.6452706471873 0.201435403184687 0.509121656849014 -18111.9802673746 0.383297604102165
"1027" "Loc_33127" 52.34693878 60.75 52 0.123606665535603 4.48314142622376e-05 0.504016239933061 -18015.5578704792 -2.69373487512409 0.202853176214422 0.5090834337045 -18111.2546545598 0.383297604102165
"1028" "Loc_33128" 54.18367347 60.75 53 0.124267030003108 4.4630711863867e-05 0.500536128508341 -17950.3986607599 -2.76295991886934 0.204872442298631 0.509472983628993 -18118.6523613686 0.383297604102165
"1029" "Loc_33129" 56.02040817 60.75 54 0.12496702542778 4.44199366952856e-05 0.496874204240292 -17882.3237042344 -2.86123689655085 0.207705106197855 0.510622240053256 -18140.5114762277 0.383297604102165
"1031" "Loc_33131" 59.69387755 60.75 55 0.126507797291941 4.39665371556401e-05 0.489071565955928 -17738.91081944 -2.97379475794034 0.210760323891793 0.50772319880488 -18085.4692139005 0.383297604102165
"1032" "Loc_33132" 61.53061225 60.75 56 0.127353666522587 4.3723762551834e-05 0.48495594591084 -17664.1453274437 -2.98105391331499 0.210857786579296 0.503559656223692 -18006.9831011415 0.383297604102165
"1033" "Loc_33133" 63.36734694 60.75 57 0.128247183738318 4.34709878083347e-05 0.480710109790698 -17587.637794725 -2.99411471790694 0.211115797482941 0.499210772754781 -17925.7029162305 0.383297604102165
"1034" "Loc_33134" 65.20408164 60.75 58 0.129185385571225 4.32088922575921e-05 0.47634600365901 -17509.6482826704 -3.04195016075293 0.212347125886601 0.495829853379566 -17863.0000700395 0.383297604102165
"1035" "Loc_33135" 67.04081633 60.75 59 0.144323385444945 4.39839335911127e-05 0.476124801934617 -17630.140150964 -3.2249050702456 0.22001470344549 0.502956984705536 -18120.1043946661 0.398193551189825
"1036" "Loc_33136" 68.87755102 60.75 60 0.145089723301925 4.32129630795779e-05 0.469668864578788 -17597.1881084343 -3.30876404089038 0.221648987475721 0.498813760950687 -18123.9336673962 0.395753145169299
"1132" "Loc_34106" 8.95522388 59.85 61 0.00902214837445103 4.89018622806304e-05 0.596464962680661 -18783.3856688438 -3.90713256278368 0.224083078086935 0.581795520036348 -18450.6304399481 0.319591062859339
"1133" "Loc_34107" 10.74626866 59.85 62 0.0107795553153448 4.8712791019209e-05 0.595593280180677 -18763.2772580644 -3.64877227697617 0.218029704721449 0.575806138689686 -18318.1135947369 0.319591062859339
"1134" "Loc_34108" 12.53731343 59.85 63 0.0125541020463391 4.85142345047257e-05 0.594353828525783 -18734.7594683991 -3.49120607503763 0.214198887561481 0.573072872081463 -18258.2598268095 0.319591062859339
"1135" "Loc_34109" 14.32835821 59.85 64 0.0143389681871171 4.83069566173298e-05 0.592746935847438 -18697.9168888572 -3.37796717644933 0.21137537017321 0.571549247208724 -18225.0612241201 0.319591062859339
"1136" "Loc_34110" 16.11940299 59.85 65 0.0161310608675217 4.80912908508044e-05 0.590773929614191 -18652.8784301914 -3.28301603420898 0.208951780087146 0.570157128771531 -18194.831096039 0.319591062859339
"1137" "Loc_34111" 17.91044776 59.85 66 0.0343004032803503 5.11126726670321e-05 0.603513750636234 -18826.9933870043 -3.5565733244038 0.220724454477482 0.601616608385944 -18782.5093577006 0.346629581927039
"1138" "Loc_34112" 19.70149254 59.85 67 0.0197308250617069 4.76354591974105e-05 0.585739395662287 -18538.9302440483 -3.15463684215055 0.205605541173995 0.568355847188361 -18155.8608804295 0.319591062859339
"1139" "Loc_34113" 21.49253732 59.85 68 0.0215410304506382 4.73949992321183e-05 0.582685895115989 -18470.4921370032 -3.09244715767033 0.203934983930477 0.566591233172968 -18117.8413316933 0.319591062859339
"1140" "Loc_34114" 23.28358209 59.85 69 0.0233588948185258 4.71461193868596e-05 0.579281928669983 -18394.7868391231 -3.01292012417732 0.201737917263694 0.563274002542124 -18046.787000155 0.319591062859339
"1141" "Loc_34115" 25.07462687 59.85 70 0.0451381650435947 4.7672088080201e-05 0.579504197915241 -18692.4593206606 -2.97650871103333 0.203754406001576 0.573096732456791 -18551.5285343127 0.337321964439068
"1142" "Loc_34116" 26.86567164 59.85 71 0.0430147014399798 4.98941546085493e-05 0.589720177485588 -18508.3016620409 -3.17090600091654 0.210856819275125 0.589340856116808 -18499.6898255173 0.346629581927039
"1143" "Loc_34117" 28.65671642 59.85 72 0.0618280709808835 6.21293211253584e-05 0.606157899683119 -17325.0539201786 -4.41465888868763 0.253145498655699 0.63529214973403 -18041.2511788109 0.413661803575017
"1144" "Loc_34118" 30.44776119 59.85 73 0.0630100935759683 6.19203019642477e-05 0.604975659172054 -17297.1219230846 -4.34614523656166 0.251696662138959 0.632883549616579 -17979.9090628944 0.413661803575017
"1145" "Loc_34119" 32.23880597 59.85 74 0.064225786748957 6.16965385786412e-05 0.603282543282354 -17257.2650629907 -4.29835998148703 0.250663288330201 0.63014723458692 -17910.707157593 0.413661803575017
"1146" "Loc_34120" 34.02985074 59.85 75 0.0654811500048361 6.14573483469941e-05 0.601084297626857 -17205.7702172685 -4.26375071440396 0.249893474285087 0.626835215671546 -17827.6272661211 0.413661803575017
"1147" "Loc_34121" 35.82089552 59.85 76 0.036147787296596 4.5192087986719e-05 0.546207519607135 -17689.5523464349 -2.67406452977967 0.191708209735348 0.533251686530922 -17427.2209385938 0.319591062859339
"1148" "Loc_34122" 37.6119403 59.85 77 0.0380010468004682 4.48820218792702e-05 0.540283517952759 -17568.6853433153 -2.65829803873664 0.191185681340928 0.528282676235726 -17328.5350883187 0.319591062859339
"1149" "Loc_34123" 39.40298508 59.85 78 0.0398736702561092 4.45632038655539e-05 0.534103076919922 -17444.2351449139 -2.64327782630619 0.190677203279738 0.522828110414031 -17221.3957972998 0.319591062859339
"1150" "Loc_34124" 41.19402985 59.85 79 0.0417700732947364 4.42353245931282e-05 0.527683969297877 -17316.7148476981 -2.62712862516517 0.190124925459129 0.516819445654433 -17104.7813648908 0.319591062859339
"1151" "Loc_34125" 42.98507463 59.85 80 0.0436938426850461 4.38981924125792e-05 0.521044915753217 -17186.6355389536 -2.60737604268018 0.189450900698231 0.510151312451594 -16977.0538446135 0.319591062859339
"1152" "Loc_34126" 44.7761194 59.85 81 0.127405447399975 4.75873922053545e-05 0.521519098652008 -18011.2920668702 -2.69557869540659 0.20580379524597 0.527628279708353 -18131.0419426438 0.396269440578358
"1153" "Loc_34127" 46.56716418 59.85 82 0.128060534909637 4.74014906016947e-05 0.518574066846433 -17954.1097726695 -2.71040131821616 0.206194019072417 0.526524321050822 -18109.2883375498 0.396269440578358
"1154" "Loc_34128" 48.35820896 59.85 83 0.123773219346912 4.90447043120027e-05 0.530627136308113 -17914.6631942966 -2.87933167803225 0.212107462611136 0.53572866310772 -18016.5041340466 0.40107919608117
"1155" "Loc_34129" 50.14925373 59.85 84 0.124351658819245 4.88567325330817e-05 0.527629727662808 -17855.341401716 -2.91034657828945 0.212932631475349 0.534906219640753 -18000.0103954133 0.40107919608117
"1156" "Loc_34130" 51.94029851 59.85 85 0.124977171045233 4.86564880324286e-05 0.524378539062599 -17791.421128387 -2.94815869260703 0.213938993749177 0.533814087837348 -17978.1532003658 0.40107919608117
"1157" "Loc_34131" 53.73134328 59.85 86 0.129880847843359 4.38987901119511e-05 0.489198299213249 -17741.2226377779 -2.57257433154134 0.199126855172948 0.498989526798124 -17921.5867419041 0.383297604102165
"1158" "Loc_34132" 55.52238806 59.85 87 0.130583022562136 4.36890682779291e-05 0.48561065148759 -17675.9988423518 -2.62507297290228 0.200692187015402 0.498552669619793 -17913.4645600266 0.383297604102165
"1159" "Loc_34133" 57.31343284 59.85 88 0.13133189411812 4.34686492493463e-05 0.481854630853634 -17608.1996486169 -2.68225440691536 0.20237295399751 0.497843139694502 -17900.2878305215 0.383297604102165
"1160" "Loc_34134" 59.10447761 59.85 89 0.132130091684207 4.32375110120988e-05 0.477944344290773 -17538.136014265 -2.717751914906 0.203360797305557 0.495660403928546 -17859.8685198282 0.383297604102165
"1161" "Loc_34135" 60.89552239 59.85 90 0.132981380074687 4.29953395950857e-05 0.473890873293838 -17466.0586364244 -2.74097381562173 0.20396238741885 0.492478824055135 -17801.2651202895 0.383297604102165
"1162" "Loc_34136" 62.68656717 59.85 91 0.133883268793214 4.27427751148498e-05 0.469705017647536 -17392.2077443629 -2.76837190536976 0.20468128690048 0.489034839278041 -17738.2409729645 0.383297604102165
"1163" "Loc_34137" 64.47761194 59.85 92 0.134833839875386 4.24803707447023e-05 0.465400517198055 -17316.8690897277 -2.80502867123086 0.205665468850678 0.485528893070985 -17674.5177733071 0.383297604102165
"1164" "Loc_34138" 66.26865671 59.85 93 0.1500557263754 4.32318904969836e-05 0.465098848971444 -17436.0395358761 -2.92776001564461 0.211922689954122 0.490806212783073 -17895.0310371788 0.398193551189825
"1165" "Loc_34139" 68.05970149 59.85 94 0.150877273023031 4.29793280129547e-05 0.461224683094275 -17368.7874174273 -3.01256636576242 0.214216514960457 0.488951997257764 -17861.1577854156 0.398193551189825
"1166" "Loc_34140" 69.85074627 59.85 95 0.15164479539447 4.22091753945156e-05 0.454776288667721 -17339.1021805674 -3.06667042355882 0.215142397028841 0.483790173239181 -17848.6918098791 0.395753145169299
"1167" "Loc_34141" 71.64179104 59.85 96 0.15252164332185 4.19465522749689e-05 0.450837488118815 -17272.0219486954 -3.23178334046008 0.219513941714691 0.484042018466386 -17853.2394148325 0.395753145169299
"1229" "Loc_35026" -135.4368932 58.95 97 0.0316504950975016 4.84745131875058e-05 0.715081964477093 -23865.1855426997 -5.79312230690685 0.265221368136951 0.622481602851193 -21242.6534612867 0.382788843191763
"1230" "Loc_35027" -133.6893204 58.95 98 0.0347305562423019 4.82412870928648e-05 0.71824696628985 -23969.2845877933 -5.42168961429192 0.259153281054013 0.620783414205534 -21200.8278633926 0.382788843191763
"1261" "Loc_35109" 9.61165048 58.95 99 0.0325673953076634 5.13134787531404e-05 0.596584462602075 -18665.5344389563 -3.87152538575032 0.228104916862014 0.596349108842016 -18660.0992934106 0.346629581927039
"1262" "Loc_35110" 11.3592233 58.95 100 0.0171923540190489 4.79761288644477e-05 0.584575619291644 -18512.7872155347 -3.29795033918734 0.209295223816372 0.562889894725125 -18038.5943860802 0.319591062859339
"1263" "Loc_35111" 13.10679612 58.95 101 0.0188992142149254 4.77827260124357e-05 0.583292798041584 -18484.0546906586 -3.18353654362306 0.20631081757272 0.561448520661584 -18007.9154633881 0.319591062859339
"1264" "Loc_35112" 14.85436893 58.95 102 0.0206103166276707 4.75814718238741e-05 0.581650004205276 -18447.3884226432 -3.11476937249541 0.20450060139474 0.561549479907487 -18010.0610439394 0.319591062859339
"1265" "Loc_35113" 16.60194175 58.95 103 0.0223247941463525 4.73724354827878e-05 0.579648306852062 -18402.9057339853 -3.0800015521572 0.203602135565855 0.562741839227111 -18035.4384408046 0.319591062859339
"1266" "Loc_35114" 18.34951457 58.95 104 0.024045120438541 4.71553023469425e-05 0.577290403278637 -18350.7781817921 -3.06988775142473 0.203380284426905 0.564611200798923 -18075.3643396709 0.319591062859339
"1268" "Loc_35117" 23.59223301 58.95 105 0.040536317628701 4.46471924988001e-05 0.556118460696472 -18360.6259848658 -2.61352828329647 0.189748016469251 0.53596365290069 -17946.8142991929 0.31850419743684
"1269" "Loc_35118" 25.33980583 58.95 106 0.0742087533368745 6.28459943016767e-05 0.596885101329811 -17108.6218490709 -4.49293804977291 0.256886142750496 0.639317842976174 -18145.1230635711 0.423377085401612
"1270" "Loc_35119" 27.08737864 58.95 107 0.0672131251909494 6.15315165618897e-05 0.597404729784512 -17120.2064887882 -4.31139169767594 0.251145523042206 0.635058927942501 -18035.2938097728 0.413661803575017
"1271" "Loc_35120" 28.83495146 58.95 108 0.0682903769627168 6.13451689434903e-05 0.596715568068584 -17104.2678826186 -4.24968804532207 0.249824967105935 0.633686384672892 -18000.3107977775 0.413661803575017
"1272" "Loc_35121" 30.58252427 58.95 109 0.0694026331703427 6.11440114915291e-05 0.595523859655173 -17076.7707773052 -4.20175367506778 0.248778375421976 0.631775794731282 -17951.8318023598 0.413661803575017
"1273" "Loc_35122" 32.33009709 58.95 110 0.0705540534218101 6.09275624264306e-05 0.593832738337638 -17037.8891127383 -4.16374025633674 0.24792872469703 0.629205053252594 -17886.9976599557 0.413661803575017
"1274" "Loc_35123" 34.07766991 58.95 111 0.0717502363760123 6.06951904978771e-05 0.591648219643371 -16987.9023660269 -4.13199449222585 0.247199767813126 0.625858564042619 -17803.269321641 0.413661803575017
"1275" "Loc_35124" 35.82524272 58.95 112 0.0729977887610581 6.04461697500955e-05 0.588979010908442 -16927.1865474917 -4.10310604493275 0.24651828195087 0.621630834568926 -17698.5568420575 0.413661803575017
"1276" "Loc_35125" 37.57281554 58.95 113 0.0655662521561544 4.98267429084135e-05 0.564527112792133 -17800.1188660894 -3.05578230888169 0.210511885162232 0.580615651931306 -18150.9301953714 0.362096493101736
"1277" "Loc_35126" 39.32038835 58.95 114 0.0613572480046014 4.71093738561387e-05 0.54374588195419 -17518.525920591 -2.80130203705649 0.200313294588888 0.548993003842365 -17626.3195277678 0.346629581927039
"1278" "Loc_35127" 41.06796117 58.95 115 0.0471955677620128 4.35863739868943e-05 0.516918243159121 -17106.6870460681 -2.52774593265244 0.18709479093827 0.511744799895449 -17007.4181501123 0.319591062859339
"1279" "Loc_35128" 42.81553398 58.95 116 0.0576379164493569 4.72965549324763e-05 0.539825505746383 -17230.7324903006 -2.85165505505876 0.20153237606092 0.542559568014879 -17286.2651564521 0.345619494056274
"1280" "Loc_35129" 44.5631068 58.95 117 0.059590931775417 4.69374221482214e-05 0.533083622443055 -17095.1929871992 -2.82444102531732 0.20065935201672 0.534371201823565 -17120.9267750822 0.345619494056274
"1281" "Loc_35130" 46.31067961 58.95 118 0.126488974156818 5.14180066063033e-05 0.534021411858797 -17519.0505042002 -3.02594190926046 0.218737855345547 0.547947691780765 -17801.8056041127 0.412282767889918
"1282" "Loc_35131" 48.05825243 58.95 119 0.127082943192366 5.12276037158992e-05 0.531174203753954 -17462.2830888566 -3.0471036231625 0.219256484801905 0.546508047643961 -17772.1746835757 0.412282767889918
"1283" "Loc_35132" 49.80582524 58.95 120 0.127727445668233 5.10239215477131e-05 0.528052993094328 -17400.4473964114 -3.07169018226606 0.219860897035485 0.544777281672342 -17736.6761313608 0.412282767889918
"1284" "Loc_35133" 51.55339806 58.95 121 0.128428082743919 5.08064027774662e-05 0.524664401030185 -17333.7757950445 -3.10110336595135 0.220588524241828 0.542835891401497 -17697.0178576894 0.412282767889918
"1285" "Loc_35134" 53.30097088 58.95 122 0.12919104087433 5.05744192145864e-05 0.521014903748517 -17262.500318929 -3.13558974514953 0.221443414939199 0.54066151763993 -17652.7997020583 0.412282767889918
"1286" "Loc_35135" 55.04854369 58.95 123 0.136092118537757 4.29609781327801e-05 0.47410960022963 -17469.9337642979 -2.47419746687742 0.195998169516711 0.48862047696474 -17730.6868815305 0.383297604102165
"1287" "Loc_35136" 56.79611651 58.95 124 0.136842795489566 4.27417056400513e-05 0.4704317430326 -17404.9874213505 -2.51369662248074 0.197189353662177 0.487524102580697 -17710.728757393 0.383297604102165
"1288" "Loc_35137" 58.54368932 58.95 125 0.13764518647451 4.25113422497765e-05 0.466595352540889 -17337.7204607848 -2.54985967744651 0.198254493252835 0.485756983273534 -17678.6502578983 0.383297604102165
"1289" "Loc_35138" 60.29126214 58.95 126 0.138499436668993 4.22701773067473e-05 0.462611901705151 -17268.3850086519 -2.58165571066019 0.199164889166483 0.483282032528701 -17633.9073226159 0.383297604102165
"1290" "Loc_35139" 62.03883495 58.95 127 0.139408195521262 4.20180542161365e-05 0.45849413330108 -17197.2498066182 -2.61295145948208 0.200046106676793 0.480297011021535 -17580.2274116323 0.383297604102165
"1291" "Loc_35140" 63.78640777 58.95 128 0.14036858889007 4.17557002670376e-05 0.454256763601879 -17124.6109825499 -2.64746174151026 0.201014188453676 0.476986638754508 -17521.0560697905 0.383297604102165
"1292" "Loc_35141" 65.53398058 58.95 129 0.155672199236151 4.24837262507467e-05 0.453867880909417 -17242.4004315172 -2.74838496930076 0.206774078474608 0.4814952183873 -17726.1653139904 0.398193551189825
"1293" "Loc_35142" 67.2815534 58.95 130 0.156511351830627 4.22304357288657e-05 0.450058976397654 -17177.6322647903 -2.80781668250189 0.208435901081601 0.479080794905046 -17682.8720031064 0.398193551189825
"1294" "Loc_35143" 69.02912621 58.95 131 0.157399313012825 4.19678823862443e-05 0.446160491424718 -17111.8037210318 -2.87894753733928 0.210407302272194 0.476646185825333 -17639.4194524773 0.398193551189825
"1295" "Loc_35144" 70.77669903 58.95 132 0.158167260979942 4.11992304690083e-05 0.439752164246236 -17085.7832469961 -2.90452651807464 0.210562722349152 0.47044568508239 -17610.8484366651 0.395753145169299
"1296" "Loc_35145" 72.52427185 58.95 133 0.159107594836203 4.09277538905316e-05 0.435825023811898 -17020.688213126 -3.01503807492881 0.213591137778761 0.468831065933713 -17582.4778932981 0.395753145169299
